,Final_CFU_Acc_Portion_mean,Prevalence_Acc_Mean,Prevalence_Comparison,MeanComparison,Cont_Spread,Sampling_Plan,Baseline_Scenario
0,854148.0,0.0024414950000000487,1.0,1.0,Random,Baseline,Prewash Only
1,814597.0,0.0023269500000000346,0.9530840734877557,0.9536953783185116,Random,PHS4D,Prewash Only
2,397049.0,0.001148159999999976,0.47026924077254023,0.46484801228826855,Random,PHS4H,Prewash Only
3,198892.0,0.000554819999999997,0.2272460111529968,0.23285425944918212,Random,PHSInt,Prewash Only
4,440495.0,0.0012718549999999704,0.5209328710482491,0.5157127336246178,Random,HTrad,Prewash Only
5,409417.0,0.0011566949999999765,0.47376504969289446,0.4793279384837288,Random,RSTrad,Prewash Only
6,808272.0,0.002301990000000045,0.9428608291231393,0.9462903384425182,Random,FPSTrad,Prewash Only
7,820022.0,0.002356430000000055,0.9651586425530293,0.9600467366311225,Random,CS,Prewash Only
0,853004.0,0.0019159750000000081,1.0,1.0,1% Cluster,Baseline,Prewash Only
1,825725.0,0.0018605249999999905,0.9710591213350814,0.9680200796244801,1% Cluster,PHS4D,Prewash Only
2,635498.0,0.0014351999999999694,0.7490703166794782,0.7450117467210001,1% Cluster,PHS4H,Prewash Only
3,264325.0,0.0006845349999999937,0.3572776262738245,0.3098754519322301,1% Cluster,PHSInt,Prewash Only
4,588106.0,0.0013700249999999716,0.7150536932892996,0.6894528044417142,1% Cluster,HTrad,Prewash Only
5,577271.0,0.0013552849999999732,0.7073604822609729,0.6767506365738027,1% Cluster,RSTrad,Prewash Only
6,812102.0,0.0018382699999999993,0.959443625308259,0.9520494628395646,1% Cluster,FPSTrad,Prewash Only
7,815378.0,0.001875465000000003,0.9788567178590509,0.9558900075497887,1% Cluster,CS,Prewash Only
0,853574.0,0.0022160800000000417,1.0,1.0,10% Cluster,Baseline,Prewash Only
1,818400.0,0.0021267800000000204,0.9597036208079042,0.9587920906681787,10% Cluster,PHS4D,Prewash Only
2,419123.0,0.001145954999999976,0.5171090393848392,0.49102128227898223,10% Cluster,PHS4H,Prewash Only
3,208668.0,0.000572939999999996,0.258537597920646,0.244463866050278,10% Cluster,PHSInt,Prewash Only
4,466894.0,0.0012618949999999751,0.569426645247442,0.546987138783515,10% Cluster,HTrad,Prewash Only
5,450733.0,0.0012035599999999727,0.5431031370708413,0.5280538066998292,10% Cluster,RSTrad,Prewash Only
6,806640.0,0.0021046200000000327,0.9497039818057079,0.9450147263154688,10% Cluster,FPSTrad,Prewash Only
7,818231.0,0.0021517750000000354,0.9709825457564686,0.9585940996328379,10% Cluster,CS,Prewash Only
0,2483169.0,0.006988370000000114,1.0,1.0,Random,Baseline,Holding Only
1,2054593.0,0.0057625500000000746,0.8245914283302087,0.8274076391900833,Random,PHS4D,Holding Only
2,2167485.0,0.006205855000000071,0.8880261062307762,0.8728705134447152,Random,PHS4H,Holding Only
3,1816241.0,0.005108370000000074,0.73098161660015,0.7314206161562101,Random,PHSInt,Holding Only
4,2262880.0,0.0063652700000000765,0.9108375772891207,0.9112871496060074,Random,HTrad,Holding Only
5,2192564.0,0.00617668500000009,0.8838520284415377,0.8829701079547949,Random,RSTrad,Holding Only
6,2261246.0,0.006324190000000077,0.9049592394220646,0.9106291194840141,Random,FPSTrad,Holding Only
7,2243001.0,0.006482875000000094,0.9276662512145161,0.9032816534033729,Random,CS,Holding Only
0,2480152.0,0.004606215000000089,1.0,1.0,1% Cluster,Baseline,Holding Only
1,2240482.0,0.00407555500000006,0.8847947827011942,0.9033647937707043,1% Cluster,PHS4D,Holding Only
2,2255892.0,0.004307160000000107,0.9350757617697011,0.9095781226311935,1% Cluster,PHS4H,Holding Only
3,1836341.0,0.0037239400000000735,0.8084598743219762,0.740414700389331,1% Cluster,PHSInt,Holding Only
4,2258407.0,0.004318030000000085,0.9374356168785003,0.9105921733829216,1% Cluster,HTrad,Holding Only
5,2228495.0,0.004260835000000063,0.9250186975640478,0.8985316222554102,1% Cluster,RSTrad,Holding Only
6,2226410.0,0.004243825000000071,0.9213258608206497,0.8976909479741564,1% Cluster,FPSTrad,Holding Only
7,2271211.0,0.004430190000000063,0.9617853269984092,0.9157547601921172,1% Cluster,CS,Holding Only
0,2474225.0,0.005808815000000077,1.0,1.0,10% Cluster,Baseline,Holding Only
1,2054598.0,0.004732650000000054,0.8147358798653411,0.8304006305004598,10% Cluster,PHS4D,Holding Only
