,Final_CFU_Acc_Portion_mean,Prevalence_Acc_Mean,Prevalence_Comparison,MeanComparison,Cont_Spread,Sampling_Plan,Baseline_Scenario
2,109112.0,0.00036527500000000475,0.9039446657922766,0.9021770586143886,1% Cluster,PHS4H,No Washing
3,84937.0,0.000286815000000005,0.7097799995050659,0.7022895082807603,1% Cluster,PHSInt,No Washing
4,113151.0,0.00037831500000000455,0.9362147046450067,0.9355729558552376,1% Cluster,HTrad,No Washing
5,109130.0,0.00036663000000000494,0.9072978791853331,0.9023258890551747,1% Cluster,RSTrad,No Washing
6,119553.0,0.00040102000000000453,0.9924026825707156,0.9885069826281803,1% Cluster,FPSTrad,No Washing
7,120691.0,0.000403915000000005,0.9995669281595707,0.9979163738289938,1% Cluster,CS,No Washing
0,123798.0,0.00042572000000000313,1.0,1.0,10% Cluster,Baseline,No Washing
1,100852.0,0.0003453000000000034,0.8110964953490578,0.8146496712386306,10% Cluster,PHS4D,No Washing
2,109726.0,0.000376400000000005,0.8841492060509307,0.8863309584969062,10% Cluster,PHS4H,No Washing
3,88614.0,0.0003055500000000052,0.7177252654326857,0.7157950855425774,10% Cluster,PHSInt,No Washing
4,111967.0,0.00038522500000000537,0.9048787935732466,0.9044330279972213,10% Cluster,HTrad,No Washing
5,109331.0,0.0003749700000000049,0.8807901907356999,0.8831402769026964,10% Cluster,RSTrad,No Washing
6,123545.0,0.0004236050000000036,0.9950319458799223,0.9979563482447212,10% Cluster,FPSTrad,No Washing
7,122991.0,0.0004215300000000039,0.9901578502302001,0.9934813163379053,10% Cluster,CS,No Washing
0,106097.0,0.0003701400000000047,1.0,1.0,Random Uniform Unclustered,Baseline,No Prewash
1,88635.0,0.0003082900000000041,0.8329010644620959,0.8354147619631093,Random Uniform Unclustered,PHS4D,No Prewash
2,94270.0,0.00032834500000000576,0.8870832657913266,0.8885265370368625,Random Uniform Unclustered,PHS4H,No Prewash
3,75910.0,0.0002654700000000063,0.7172151077970577,0.7154773462020604,Random Uniform Unclustered,PHSInt,No Prewash
4,92465.0,0.00032431000000000555,0.8761819851947951,0.8715138034063169,Random Uniform Unclustered,HTrad,No Prewash
5,93043.0,0.0003251750000000051,0.8785189387799238,0.8769616483029681,Random Uniform Unclustered,RSTrad,No Prewash
6,105411.0,0.0003684550000000044,0.9954476684497751,0.9935342186866735,Random Uniform Unclustered,FPSTrad,No Prewash
7,105279.0,0.00036815500000000445,0.9946371643162041,0.9922900741774037,Random Uniform Unclustered,CS,No Prewash
0,102793.0,0.00034243000000000516,1.0,1.0,1% Cluster,Baseline,No Prewash
1,93557.0,0.0003100100000000041,0.9053237157959274,0.9101495238002588,1% Cluster,PHS4D,No Prewash
2,96411.0,0.00031930000000000554,0.9324533481295468,0.9379140602959345,1% Cluster,PHS4H,No Prewash
3,75459.0,0.00025188500000000686,0.735580994655851,0.7340869514461101,1% Cluster,PHSInt,No Prewash
4,97279.0,0.000323750000000006,0.945448704844789,0.9463582150535542,1% Cluster,HTrad,No Prewash
5,94548.0,0.00031315500000000696,0.9145080746429992,0.9197902580915043,1% Cluster,RSTrad,No Prewash
6,101932.0,0.0003397200000000048,0.9920859737756612,0.9916239432646192,1% Cluster,FPSTrad,No Prewash
7,102678.0,0.00034175500000000543,0.9980287942061159,0.9988812467775043,1% Cluster,CS,No Prewash
0,112491.0,0.000378825000000005,1.0,1.0,10% Cluster,Baseline,No Prewash
1,87778.0,0.00030179500000000384,0.7966607272487293,0.7803113137939924,10% Cluster,PHS4D,No Prewash
2,101182.0,0.00034297500000000556,0.9053652742031308,0.8994675129565921,10% Cluster,PHS4H,No Prewash
3,75275.0,0.00025937000000000605,0.6846697023691748,0.6691646442826538,10% Cluster,PHSInt,No Prewash
4,101273.0,0.00034206000000000525,0.9029499109087329,0.9002764665617694,10% Cluster,HTrad,No Prewash
5,100644.0,0.0003409500000000043,0.9000197980597896,0.8946849081259834,10% Cluster,RSTrad,No Prewash
6,109040.0,0.0003693450000000058,0.9749752524252647,0.9693219902036607,10% Cluster,FPSTrad,No Prewash
7,111696.0,0.0003765100000000065,0.993888998878114,0.9929327679547697,10% Cluster,CS,No Prewash
0,38321.0,0.00013396000000000203,1.0,1.0,Random Uniform Unclustered,Baseline,No Holding
1,36858.0,0.00012797500000000177,0.9553224843236774,0.9618224994128546,Random Uniform Unclustered,PHS4D,No Holding
2,19740.0,6.838499999999846e-05,0.5104882054344388,0.515122256726077,Random Uniform Unclustered,PHS4H,No Holding
3,8290.0,2.9169999999999536e-05,0.21775156763212222,0.21633047154301818,Random Uniform Unclustered,PHSInt,No Holding
4,19833.0,7.039499999999841e-05,0.5254926843833782,0.5175491245009264,Random Uniform Unclustered,HTrad,No Holding
5,19080.0,6.68299999999985e-05,0.49888026276498576,0.49789932413037236,Random Uniform Unclustered,RSTrad,No Holding
6,38303.0,0.00013380000000000195,0.9988056136160042,0.9995302836564808,Random Uniform Unclustered,FPSTrad,No Holding
7,38261.0,0.00013358000000000207,0.9971633323380117,0.998434278854936,Random Uniform Unclustered,CS,No Holding
0,38908.0,0.0001301600000000018,1.0,1.0,1% Cluster,Baseline,No Holding
1,37127.0,0.00012461000000000137,0.9573601720958792,0.954225352112676,1% Cluster,PHS4D,No Holding
2,26908.0,9.009499999999832e-05,0.6921865396434932,0.6915801377608718,1% Cluster,PHS4H,No Holding
3,12459.0,4.2749999999999216e-05,0.32844191763981734,0.32021692196977486,1% Cluster,PHSInt,No Holding
4,26790.0,9.052499999999812e-05,0.6954901659495765,0.6885473424488537,1% Cluster,HTrad,No Holding
5,26109.0,8.815499999999826e-05,0.6772818070067382,0.6710445152667832,1% Cluster,RSTrad,No Holding
6,38904.0,0.00013050500000000181,1.0026505838967426,0.9998971933792536,1% Cluster,FPSTrad,No Holding
7,38826.0,0.00012983000000000208,0.9974646588813789,0.9978924642746992,1% Cluster,CS,No Holding
